Boa Viagem,Ibura,Rua Hélio Brandão,2.0
Boa Viagem,Pina,Av. Boa Viagem,1.0
Boa Viagem,Imbiribeira,Av. Mal. Mascarenhas de Morais,1.0
Boa Viagem,Ipsep,Av. Recife,1.0
Boa Viagem,Setúbal,Rua Baltazar Passos,2.0
Imbiribeira,Ipsep,Rua Itacari,2.0
Imbiribeira,Ibura,Rua Pontegy,2.0
Imbiribeira,Jordão,Av. Maria Irene,1.0
Ipsep,Ibura,Rua Jean Émile Favre,1.0
Ipsep,Areias,Rua Aldemar de Oliveira,2.0
Ibura,Jordão,Av. Dois Rios,1.0
Ibura,Sancho,Rua Dracena,2.0
Pina,Afogados,Ponte Paulo Guerra,1.0
Afogados,Areias,Rua Dom Pedrito,2.0
Afogados,Cordeiro,Estrada dos Remédios,2.0
Boa Viagem,Ilha Do Retiro,Viaduto Capitão Temudo,1.0
Boa Viagem,Cabanga,Av. Eng. José Estelita,1.0
Pina,Cabanga,Av. Herculano Bandeira,1.0
Pina,Brasília Teimosa,Av. Brasília Teimosa,1.0
Pina,Imbiribeira,Rua Joaquim Bandeira,2.0
Imbiribeira,Areias,Av. Ten. Felipe Bandeira de Melo,1.0
Ibura,Areias,Av. Dom Hélder Câmara,1.0
Cohab,Jordão,Rua Dr. Luiz Regueira,2.0
Cohab,Coqueiral,Av. Jornalista Costa Pôrto,1.0
Cohab,Sancho,Av. General Manoel Rabelo,1.0
Cohab,Curado,BR-101,1.0
Jordão,Ibura,R. Rio Xingu,2.0
Barro,Ibura,Av. Rio São Francisco,1.0
Barro,Tejipió,Av. General San Martin,1.0
Barro,Jardim São Paulo,Rua Leobina Pereira,1.0
Barro,Cohab,Av. Doze de junho,2.0
Barro,Sancho,Rua General Polidoro,2.0
Coqueiral,Tejipió,Rua Alto da Bela Vista,2.0
Coqueiral,Curado,Av. Getúlio Vargas,1.0
Coqueiral,Sancho,Rua Aprígio Guimarães,2.0
Coqueiral,Ibura,Rua do Sancho,2.0
Coqueiral,Totó,Rua Alto do Paraizo,1.0
Curado,Totó,Av. Liberdade,1.0
Curado,Barro,BR-232,1.0
Curado,Tejipió,Rua Papa João XXIII,2.0
Curado,Jardim São Paulo,Rua Lorena,2.0
Jardim São Paulo,Sancho,Av. Sancho D’Avila,1.0
Jardim São Paulo,Tejipió,Rua Leandro Barreto,2.0
Jardim São Paulo,Barro,Rua Leobina Pereira,2.0
Tejipió,Totó,Rua do Curado,2.0
Jardim São Paulo,Areias,Av. São Paulo,2.0
Tejipió,Estância,Av. Dr. José Rufino,1.0
Areias,Estância,Rua Cap. Jacinto da Cruz,1.0
Areias,Barro,Av. Izabel de Góes,2.0
Areias,Caçote,Rua Professor José dos Anjos,1.0
Caçote,Jiquiá,Rua Cap. Gregório de Caldas,2.0
Caçote,San Martin,Av. João Cabral de Melo Neto,2.0
Caçote,Sancho,PE-007,1.0
Caçote,Jardim São Paulo,Rua José Natário,2.0
Caçote,Coqueiral,Rua Heliópolis,2.0
Caçote,Mangueira,Av. Central,1.0
Caçote,Estância,Av. Justiça e Paz,1.0
Estância,Tejipió,Av. Eng. Abdias de Carvalho,1.0
Caçote,Cohab,Rua Serra da Caiada,2.0
Estância,Jiquiá,Rua Eng. José Estelita,2.0
Estância,Barro,Rua S D 5519,2.0
Estância,Imbiribeira,Rua Peroba,2.0
Estância,Jardim São Paulo,Rua Aníbal Portela,2.0
Estância,Sancho,Estrada do Curado,1.0
Jiquiá,Caçote,Rua Cap. Gregório de Caldas,2.0
Jiquiá,Estância,Rua Rocha Pombo,2.0
Jiquiá,Afogados,Rua Passo da Santa Cruz,1.0
Jiquiá,Mangueira,Rua Marquês de Sapucaiá,2.0
Jiquiá,Mustardinha,Rua São Miguel,2.0
Jiquiá,Sancho,Rua João Teixeira,2.0
Afogados,Bongi,Av. Manoel Gonçalves da Luz,1.0
Afogados,Ilha Joana Bezerra,Rua Cabo Eutrópio,2.0
Afogados,Mustardinha,Rua Joana Francisca de Azevedo,1.0
Afogados,San Martin,Av. San Martin,2.0
Afogados,Ilha Do Retiro,Av. Abdias de carvalho,2.0
Afogados,Ipsep,Av. Mascarenhas de Moraes,2.0
Afogados,Prado,Rua Vinte e Um de Abril,2.0
Bongi,San Martin,Rua Francisco Alves,2.0
Bongi,Mustardinha,Rua Randolfo Pinto Ferreira,2.0
Bongi,Prado,Rua Santa Edwirges,1.0
Bongi,Zumbi,Rua Gomes Taborda,1.0
Mangueira,Mustardinha,Rua João de Barros,2.0
Mangueira,Afogados,	Rua Aurino Eutíquio da Rocha,2.0
Mangueira,Bongi,Rua Mandari,2.0
Mangueira,Mustardinha,Rua Dr. João Elísio,2.0
Mangueira,San Martin,Rua Benício Dias,2.0
Mustardinha,San Martin,Rua Neto Campêlo Júnior,2.0
San Martin,Torrões,Rua Edvaldo Maranhão Ferreira,1.0
Aflitos,Espinheiro,Av. Rosa e Silva,1.0
Aflitos,Graças,Av. Rui Barbosa,2.0
Aflitos,Jaqueira,Rua do Futuro,2.0
Aflitos,Derby,Rua Quarenta e Oito,1.0
Alto Do Mandu,Apipucos,Rua Cianorte,2.0
Alto Do Mandu,Monteiro,Rua Cametá,2.0
Alto Do Mandu,Morro Da Conceição,Rua Morro da Conceição,2.0
Alto Do Mandu,Tamarineira,Rua Guimarães Peixoto,2.0
Espinheiro,Graças,Av. João de Barros,2.0
Espinheiro,Rosarinho,Rua Barão de Itamaracá,2.0
Espinheiro,Torreão,Rua Djalma Farias,2.0
Graças,Jaqueira,Rua da Amizade,1.0
Graças,Ilha Do Leite,Rua Sen. José Henrique,2.0
Graças,Madalena,Rua Joaquim Nabuco,2.0
Graças,Parnamirim,Rua Desembargador Góis Cavalcante,1.0
Graças,Poço Da Panela,Rua Aberlardo Carneiro Leão,2.0
Graças,Soledade,Rua João Fernandes Viêira,2.0
Graças,Tamarineira,Rua Senador Alberto Paiva,2.0
Graças,Torreão,Rua Engenho Megaípe,2.0
Casa Forte,Poço,Av. Dezessete de Agosto,2.0
Casa Forte,Monteiro,Rua Casa Forte,1.0
Monteiro,Apipucos,Av. Apipucos,2.0
Apipucos,Dois Irmãos,Estrada dos Macacos,2.0
Apipucos,Sítio Dos Pintos,Av. Professor Moraes Rego,2.0
Apipucos,Casa Forte,Rua Visconde de Ouro Preto,2.0
Sítio dos Pintos,Dois Irmãos,Estrada dos Pintos,1.0
Casa Amarela,Tamarineira,Av. Norte,2.0
Casa Amarela,Alto Do Mandu,Estrada do Arraial,1.0
Casa Amarela,Casa Forte,Estrada Das Ubaias,2.0
Casa Amarela,Poço Da Panela,Rua Marechal Rondon,2.0
Tamarineira,Aflitos,Av. Santos Dumont,2.0
Tamarineira,Graças,Av. Rosa e Silva,2.0
Parnamirim,Casa Forte,Rua Jerônimo de Albuquerque,2.0
Parnamirim,Monteiro,Rua João Tude de Melo,2.0
Poço,Santana,Rua Leonardo Bezerra Cavalcanti,2.0
Derby,Boa Vista,Rua Henrique Dias,1.0
Derby,Graças,Rua Das Pernambucanas,2.0
Derby,Espinheiro,Rua do Espinheiro,2.0
Derby,Ilha Do Retiro,Rua João Elísio Ramos,2.0
Derby,Ilha Do Leite,Rua Antônio Gomes de Freitas,2.0
Derby,Madalena,Rua Arlíndo Gouvêia,1.0
Derby,Paissandu,Rua Amauri de Medeiros,2.0
Derby,Santo Amaro,Rua das Creoulas,2.0
Dois Irmãos,Brejo De Beberibe,	Rua Sr. do Bonfim,2.0
Dois Irmãos,Casa Amarela,Praça Dois Irmãos,2.0
Dois Irmãos,Macaxeira,Rua do Monte,2.0
Dois Irmãos,Monteiro,Rua Caetés,1.0
Dois Irmãos,Morro Da Conceição,Largo Dom Luiz,2.0
Dois Irmãos,Pau-Ferro,Av. Carlos Laet de Lima,2.0
Dois Irmãos,Sítio Dos Pintos,R. Manuel de Medeiros,2.0
Tamarineira,Encruzilhada,Rua Amaro Coutinho,1.0
Espinheiro,Santo Amaro,Rua Tupinambás,1.0
Casa Forte,Santana,Ponte D'Uchoa,1.0
Apipucos,Macaxeira,Estrada do Arraial,1.0
Recife,Santo Amaro,PE-001,1.5
Recife,Santo Antônio,Av. Cais do Apolo,1.5
Recife,São José,Av. Dantas Barreto,1.5
Santo Amaro,Boa Vista,Av. Cruz Cabugá,1.0
Santo Amaro,Santo Antônio,Rua Princesa Isabel,1.5
Santo Amaro,Soledade,Rua do Hospício,1.0
Santo Amaro,Campo Grande,Rua Odorico Mendes,1.5
Santo Amaro,Encruzilhada,Rua Castro Alves,1.0
Santo Amaro,Hipódromo,Rua Padre Capistrano,2.0
Santo Amaro,Torreão,Av. Norte Miguel Arraes de Alencar,1.0
Cabanga,São José,Av. Sul Governador Cid Sampaio,1.0
Cabanga,Coelhos,Tv. Padre Azevedo,1.5
Cabanga,Ilha Joana Bezerra,Rua Luís Pinheiro,2.0
Cabanga,Afogados,Rua Imperial,2.0
Cabanga,Brasília Teimosa,Av. Herculano Bandeira,1.5
Ilha Do Leite,Paissandu,Rua General Joaquim Inácio,2.0
Ilha Do Leite,Santo Antônio,Rua Doutor José Mariano,1.5
Ilha Do Leite,São José,Ponte Viaduto Joaquim Cardozo,1.5
Ilha Do Leite,Coelhos,Rua Capitão José da Luz,2.0
Ilha Do Leite,Ilha Joana Bezerra,Rua Água Doce,1.5
Ilha Do Leite,Ilha Do Retiro,Av. Sport Clube do Recife,1.0
Ilha Do Leite,Boa Vista,Av. Manoel Borba,1.0
Paissandu,Coelhos,Rua Francisco Alves,2.0
Paissandu ,Ilha Joana Bezerra,Rua Água Doce,2.0
Paissandu,Ilha Do Retiro,Rua Prefeito Jorge Martins,2.0
Paissandu,Prado,Av. Engenheiro Abdias de Carvalho,1.0
Paissandu,Madalena ,Av. José Gonçalves de Medeiros,1.0
Santo Antônio,São José,Rua das Águas Verdes,2.0
Santo Antônio,Soledade,Rua Velha,2.0
Santo Antônio,Coelhos,Rua da Glória,2.0
Santo Antônio,Ilha Joana Bezerra,Av. Rio Capibaribe,1.0
São José,Soledade,Rua da Matriz ,2.0
São José,Coelhos,Rua Vidal de Negreiros,2.0
São José,Ilha Joana Bezerra,Av. Agostinho Gomes,1.0
Soledade,Boa Vista,Av. Conde da Boa Vista,1.0
